Name,Address,Grades,Latitude,Longitude 
Allis Roti + Meat Market,"'1188 Blue Hill Ave.,Boston,MA,USA'",'A; B; C',42.283748,-71.0912565
Blasi's Cafe,"'756 Adams St.,Boston,MA,USA'",'A; B; C',42.2838094,-71.0553018
Triple Eatery,"'77 Cummins Hw.,Boston,MA,USA'",'A; B; C',42.2844975,-71.1256069
Papa Gino's,"'748 Gallivan Bl.,Boston,MA,USA'",'A; B; C',42.2847156,-71.0454636
Johnny's Pizza & Subs,"'1917 Dorchester Ave.,Boston,MA,USA'",'A; B; C',42.2851875,-71.0644569
Tavolo,"'1917 Dorchester.,Boston,MA,USA'",'A; B; C',42.2851875,-71.0644569
Chez-Vous Skating Rink,"'11 Rhoades St.,Boston,MA,USA'",'A; B; C',42.2853311,-71.092041
Simco's Inc.,"'679 Canterbury St.,Boston,MA,USA'",'A; B; C',42.2854219,-71.110053
West Garden Chinese,"'1890 Centre St.,Boston,MA,USA'",'A; B; C',42.2854839,-71.1557377
Bon Appetit Restaurant,"'1138 Blue Hill Ave.,Boston,MA,USA'",'A; B; C',42.2855177,-71.0903534
Blue Smoke Restaurant,"'1132 Blue Hill Ave.,Boston,MA,USA'",'A; B; C',42.2855961,-71.0909099
Comella's,"'1882 Centre St.,Boston,MA,USA'",'A; B; C',42.2856569,-71.1555497
Redd's In Rozzie,"'4253 Washington St.,Boston,MA,USA'",'A; B; C',42.2856755,-71.1293331
Romano's,"'4249 Washington St.,Boston,MA,USA'",'A; B; C',42.2857214,-71.1292568
Imperial Kitchen,"'50 Corinth St.,Boston,MA,USA'",'A; B; C',42.2858767,-71.12928
Rox Diner,"'1881 Centre St.,Boston,MA,USA'",'A; B; C',42.2860122,-71.1557771
Ashmont Grill,"'555 Talbot Ave.,Boston,MA,USA'",'A; B; C',42.2860648,-71.0647658
Phuket Thai Restaurant,"'1852 Centre St.,Boston,MA,USA'",'A; B; C',42.2860884,-71.1543777
Roche Bros. Supermarket,"'1800 Centre St.,Boston,MA,USA'",'A; B; C',42.2862365,-71.1519936
Riddick's House Of Pizza,"'400 Neponset Ave.,Boston,MA,USA'",'A; B; C',42.2864685,-71.0441353
Mud House,"'389 Neponset Ave.,Boston,MA,USA'",'A; B; C',42.2864815,-71.0446549
Blue Star Restaurant,"'11 Corinth St.,Boston,MA,USA'",'A; B; C',42.2865389,-71.1303503
Village Sushi & Grill,"'10 Corinth St.,Boston,MA,USA'",'A; B; C',42.2865865,-71.1302123
West,"'1732 Centre.,Boston,MA,USA'",'A; B; C',42.2870834,-71.1496115
Shanti Boston,"'4197 Washington St.,Boston,MA,USA'",'A; B; C',42.287211,-71.1275989
Mangia-Yogoteria,"'1727 Centre St.,Boston,MA,USA'",'A; B; C',42.287344,-71.1493772
Thai Spice,"'1745 Centre St.,Boston,MA,USA'",'A; B; C',42.2874632,-71.1502499
Los Amigos Mexican Grill,"'1741 Centre St.,Boston,MA,USA'",'A; B; C',42.2874711,-71.1501623
Red Eyed Pig,"'1753 Centre St.,Boston,MA,USA'",'A; B; C',42.2874905,-71.1504532
Banh Mi Ngon/Vietnamese Gourmet Sandwiches,"'1759 Centre St.,Boston,MA,USA'",'A; B; C',42.2874942,-71.15064
Christos Pizza,"'1761 Centre St.,Boston,MA,USA'",'A; B; C',42.2875662,-71.1506912
Empire Garden,"'686 Washington St.,Boston,MA,USA'",'A; B; C',42.2878589,-71.0711918
Dunkin Donuts,"'4175 Washington.,Boston,MA,USA'",'A; B; C',42.2879171,-71.1270075
Hong Kong 888 Cafe,"'888 South St.,Boston,MA,USA'",'A; B; C',42.2885656,-71.1343582
Sea Breeze Grill,"'1782 Dorchester Ave.,Boston,MA,USA'",'A; B; C',42.2895689,-71.0630737
Crown Fried Chicken,"'998 Blue Hill Ave.,Boston,MA,USA'",'A; B; C',42.2898133,-71.0892627
Top Griyo,"'986 Blue Hill Ave.,Boston,MA,USA'",'A; B; C',42.2899888,-71.0891877
Boston Market,"'1010 William T Morrissey Bl.,Boston,MA,USA'",'A; B; C',42.2901014,-71.0448547
Mcdonald's,"'607 Washington St.,Boston,MA,USA'",'A; B; C',42.290391,-71.071895
Dot 2 Dot Cafe,"'1735 Dorchester Ave.,Boston,MA,USA'",'A; B; C',42.2909799,-71.0630433
Guira And Tambora Restaurant,"'4014 Washington St.,Boston,MA,USA'",'A; B; C',42.2918179,-71.1221402
Arboretum Grill,"'4021 Washington St.,Boston,MA,USA'",'A; B; C',42.2919936,-71.122395
Domino's Pizza,"'4000 Washington St.,Boston,MA,USA'",'A; B; C',42.2923283,-71.1215439
Yucatan Tacos,"'1419 Centre.,Boston,MA,USA'",'A; B; C',42.2940177,-71.1368129
Perry's Catering,"'499 Washington St.,Boston,MA,USA'",'A; B; C',42.294102,-71.072233
The Boston Ice Cream Factory,"'777 William T Morrissey Bl.,Boston,MA,USA'",'A; B; C',42.2949355,-71.0484403
Sun Pizza.,"'870 Blue Hill Ave.,Boston,MA,USA'",'A; B; C',42.295062,-71.0875385
Country Kitchen,"'830 Blue Hill Ave.,Boston,MA,USA'",'A; B; C',42.2962219,-71.0871959
Simpli Bar N Bites,"'3840 Washington St.,Boston,MA,USA'",'A; B; C',42.2970242,-71.11665
Dunkin Donuts,"'1580 Dorchester Ave.,Boston,MA,USA'",'A; B; C',42.2970569,-71.0604478
Twelve Bens,"'315 Adams St.,Boston,MA,USA'",'A; B; C',42.2985976,-71.0576768
Pizza 24,"'301 Adams St.,Boston,MA,USA'",'A; B; C',42.2990786,-71.0581834
Magic Wok Restaurant,"'1512 Dorchester Ave.,Boston,MA,USA'",'A; B; C',42.2991047,-71.0603697
The Blarney Stone,"'1505 Dorchester Ave.,Boston,MA,USA'",'A; B; C',42.2993062,-71.0607079
Just Steaks,"'481 Geneva Ave.,Boston,MA,USA'",'A; B; C',42.2993239,-71.06476
Antonio's Pizzeria,"'1508 Dorchester Ave.,Boston,MA,USA'",'A; B; C',42.2993781,-71.0600672
Rino's Pizza,"'730 Blue Hill Ave.,Boston,MA,USA'",'A; B; C',42.2998041,-71.0860958
My Sisters Crawfish,"'272 Adams St.,Boston,MA,USA'",'A; B; C',42.29985,-71.058367
Saigon Seafood Restaurant,"'270 Adams St.,Boston,MA,USA'",'A; B; C',42.2999921,-71.0584995
Brassica Kitchen & Cafe,"'3710 Washington St.,Boston,MA,USA'",'A; B; C',42.300249,-71.113075
Tikki Masala Indian Restaurant,"'3706 Washington St.,Boston,MA,USA'",'A; B; C',42.3003573,-71.1129845
Oriental House,"'3704 Washington St.,Boston,MA,USA'",'A; B; C',42.3004123,-71.1128933
Minina's Cafe,"'430 Geneva Ave.,Boston,MA,USA'",'A; B; C',42.3005757,-71.0666576
Hills Deli,"'3696 Washington St.,Boston,MA,USA'",'A; B; C',42.3006458,-71.1126955
Yuen Barbeque Restaurant,"'1458 Dorchester Ave.,Boston,MA,USA'",'A; B; C',42.3008427,-71.0596858
Ba Le Fields Corner,"'1449 Dorchester Ave.,Boston,MA,USA'",'A; B; C',42.301172,-71.060096
Forest Hills Pizza,"'3722 Washington St.,Boston,MA,USA'",'A; B; C',42.3011727,-71.1124283
Papa Rino's Pizza,"'392 Geneva Ave.,Boston,MA,USA'",'A; B; C',42.301328,-71.0679259
Pho So 1 Boston,"'223 Adams St.,Boston,MA,USA'",'A; B; C',42.301506,-71.0600268
Archie's Place,"'227 Washington St.,Boston,MA,USA'",'A; B; C',42.3018246,-71.0775917
D'Benny's Subs,"'1433 Dorchester Ave.,Boston,MA,USA'",'A; B; C',42.3020177,-71.0598808
Giddy Up Grill,"'1 Franklin Park Pr.,Boston,MA,USA'",'A; B; C',42.302786,-71.08681
Boston Big Easy,"'624 Blue Hill Ave.,Boston,MA,USA'",'A; B; C',42.3029077,-71.0850348
Stash's Pizza,"'612 Blue Hill Ave.,Boston,MA,USA'",'A; B; C',42.3031985,-71.0850037
Tropical Island Restaurant,"'148 Bowdoin.,Boston,MA,USA'",'A; B; C',42.3038507,-71.0710082
Pho Hoa Restaurant,"'1370 Dorchester Ave.,Boston,MA,USA'",'A; B; C',42.3039882,-71.0590928
On The Dot Cafe,"'1353 Dorchester Ave.,Boston,MA,USA'",'A; B; C',42.3045188,-71.0593977
